Database Name	OperettaCLS
Database Link	http://10.20.176.50/ODA/OdaService.asmx
Evaluation Signature	af8b1d54-abee-46e8-8e0d-b6681e708724
Plate Name	20191212_CellCharacterisationX8_Normoxia
Measurement	Measurement 2
Evaluation	Evaluation1
Population	Population - Valid Cells

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Valid Cells - Nucleus Area [µm²]	Valid Cells - Nucleus Roundness	Valid Cells - Nucleus Ratio Width to Length	Valid Cells - Intensity Nuclei Mean	Valid Cells - Intensity Nuclei Sum	Valid Cells - Intensity Nuclei CV [%]	Valid Cells - Intensity Pax8 Mean	Valid Cells - Intensity Pax8 Sum	Valid Cells - Intensity Pax8 CV [%]	Valid Cells - Nuclei Selected	Valid Cells - Number of Micronuclei Candiates	Valid Cells - Number of Micronuclei- per Cell 	Valid Cells - Object No in Nuclei	Valid Cells - Valid with MN	Valid Cells - Nucleus Area [µm²]- Mean per Cell 	Valid Cells - Nucleus Roundness- Mean per Cell 	Valid Cells - Intensity Nuclei Mean- Mean per Cell 	Valid Cells - Intensity Nuclei Sum- Mean per Cell 	Valid Cells - Intensity Pax8 Mean- Mean per Cell 	Valid Cells - Intensity Pax8 Sum- Mean per Cell 	Valid Cells - Total Spot Area- Mean per Cell 	Valid Cells - Number of Centrosomes- per Cell - Mean per Cell 	Valid Cells - Valid cell with 2 or more Centrosomes	Valid Cells - Valid cells with MN and CA	
1	1	0	2	19	1674	1557	[1519,1374,1843,1726]	-558.75	776.09	Normoxia		CIOV1		157.591	0.902612	0.765041	3072.95	54123800	29.8206	242.168	4265300	11.0412	1	0	0	19	0	157.591	0.902612	3072.95	54123800	242.168	4265300	0	0	0	0	
1	1	0	2	20	1042	1587	[915,1435,1172,1729]	-618.78	772.84	Normoxia		CIOV1		100.39	0.707671	0.498353	4213.63	47276900	26.0103	389.968	4375440	12.6103	1	1	0	20	0	100.39	0.707671	4213.63	47276900	389.968	4375440	282	1	0	0	
1	1	0	2	21	660	1682	[448,1535,803,1890]	-656.67	760.77	Normoxia		CIOV1		140.618	0.8382	0.649149	3068.73	48228200	21.9506	341.359	5364790	11.9242	1	0	0	21	0	140.618	0.8382	3068.73	48228200	341.359	5364790	0	0	0	0	
1	1	0	2	22	443	1720	[244,1538,574,1890]	-676.59	758.37	Normoxia		CIOV1		107.736	0.868999	0.625319	3198.26	38510300	25.7009	326.979	3937150	14.586	1	0	0	22	0	107.736	0.868999	3198.26	38510300	326.979	3937150	348	1	0	0	
1	1	0	2	23	1830	1739	[1648,1588,2003,1888]	-543.73	757.31	Normoxia		CIOV1		147.552	0.89332	0.764253	3102.13	51157200	28.8573	242.226	3994560	10.1493	1	0	0	23	0	147.552	0.89332	3102.13	51157200	242.226	3994560	0	0	0	0	
1	1	0	2	24	1547	1848	[1399,1695,1713,2011]	-570.33	747.21	Normoxia		CIOV1		101.536	0.949162	0.755547	3885.57	44093500	25.0694	359.659	4081410	13.7793	1	0	0	24	0	101.536	0.949162	3885.57	44093500	359.659	4081410	280	1	0	0	
1	1	0	2	25	1903	2015	[1732,1868,2158,2158]	-534.46	729.15	Normoxia		CIOV1		139.195	0.965773	0.754027	2844.28	44248400	23.3282	263.442	4098370	11.5474	1	0	0	25	0	139.195	0.965773	2844.28	44248400	263.442	4098370	335	1	0	0	
1	1	0	2	26	541	2026	[400,1891,892,2158]	-660.56	728.34	Normoxia		CIOV1		134.167	1.01124	0.888248	4720.94	70790500	23.4331	282.814	4240790	12.3877	1	0	0	26	0	134.167	1.01124	4720.94	70790500	282.814	4240790	332	1	0	0	
1	1	0	2	27	148	2036	[1,1911,349,2158]	-701.2	728.61	Normoxia		CIOV1		192.12	0.955928	0.76334	3716.9	79809300	21.358	307.017	6592280	13.0911	0	0	0	27	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	2	28	1669	2064	[1526,1953,1795,2158]	-559.9	725.61	Normoxia		CIOV1		103.862	0.846321	0.570244	3212.06	37285600	27.5976	310.525	3604570	13.4282	0	0	0	28	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
