"cell_line","drug","fit_GR","fit_rel_cell","CL","agent","concentration_points","ctrl_cell_doublings","GR50","GRmax","GR_AOC","GEC50","GRinf","h_GR","r2_GR","pval_GR","flat_fit_GR","IC50","Emax","AUC","EC50","Einf","h","r2_rel_cell","pval_rel_cell","flat_fit_rel_cell","exp","identifier"
"COV318",2,"sigmoid","sigmoid","COV318","alisertib",10,2.08938299939737,2.35881983138374,-0.540444416009384,0.488101141607718,15.5638862369746,-1,0.582264707293942,0.92645668314269,1.35395734202693e-16,,2.76852786895155,0.0463198424400368,0.612006650250289,2.76852786895155,0,0.530707982743837,0.847811528370482,3.57556418508754e-12,,"exp1","COV318_exp1"
"COV318",3,"sigmoid","sigmoid","COV318","az3146",10,2.08938299939737,7.66324117712477,-0.739064768615617,0.369763568076467,19.1951825338984,-1,1.19645305902236,0.910300873962917,2.18290563829794e-15,,8.18110691303202,0.0143772738983844,0.73522333325755,8.18110691303202,0,1.12741666334003,0.791247706429051,2.98426634452281e-10,,"exp1","COV318_exp1"
"COV318",4,"sigmoid","sigmoid","COV318","barasertib",10,2.08938299939737,1726.39713970845,0.560639163394472,0.207324911452099,103.040767222316,0.223383733949533,0.210020135615519,0.289102163548348,0.00841977904948641,,2345.64376479742,0.600586756381993,0.80334419673805,2345.64376479742,0,0.179028430244778,0.285046894864126,0.00911771039802861,,"exp1","COV318_exp1"
"COV318",5,"sigmoid","sigmoid","COV318","bi2536",10,2.08938299939737,0.239299199035755,-0.750195376566158,0.782549686673285,1.45683639264466,-0.920023273839584,0.577875158658423,0.978331294892974,5.03108238785556e-24,,0.295505391507793,0.0129635022942005,0.455283338170652,0.295505391507793,0,0.706370294403908,0.959481444581315,3.21481026885412e-20,,"exp1","COV318_exp1"
"COV318",6,"sigmoid","sigmoid","COV318","cfi400945",10,2.08938299939737,13.8521793097459,-0.747943308842723,0.424081728221882,16.6842637751578,-0.76740296219671,5,0.902739387233045,6.77825682006507e-15,,15.0028509120983,0.0139217337203821,0.70343913908265,14.979673539028,0.00385024685393082,5,0.707277099335325,3.39151545493828e-08,,"exp1","COV318_exp1"
"COV318",7,"sigmoid","sigmoid","COV318","cw069",10,2.08938299939737,Inf,0.532893276155711,0.107464493348535,116.963711685397,0.563399967663313,0.186379133103294,0.0542314007397832,0.458129724736673,,Inf,0.574020930842805,0.89963381548572,118.249678370886,0.600675368852478,0.177590073576844,0.0481160513767026,0.50139043972893,,"exp1","COV318_exp1"
"COV318",8,"sigmoid","sigmoid","COV318","gsk923295",10,2.08938299939737,0.467094998595853,-0.725159217626852,0.609147428890764,9.07919737470004,-1,0.370251137046452,0.760830042496639,4.0976933588483e-09,,0.583745853986687,0.015834394067086,0.51510956758345,0.583745853986687,0,0.298670126445371,0.717033805132582,3.96658247812637e-08,,"exp1","COV318_exp1"
"COV318",9,"sigmoid","sigmoid","COV318","oxaliplatin",10,2.08938299939737,133.982456490085,0.545407339827525,0.128831287345404,138.551794667196,-0.0098709183100168,0.582951754691322,0.313614352048595,0.00515174924558038,,181.813309257014,0.586226974009642,0.880681449287925,134.689627639304,0.079808630406937,0.579645372224571,0.286963456703498,0.00878142575228441,,"exp1","COV318_exp1"
"COV318",10,"sigmoid","sigmoid","COV318","Paclitaxel",10,2.08938299939737,0.0184635015609673,0.24738580448811,0.256529334020472,0.350079806478968,-1,0.373377264375376,0.623966417416298,1.13024567340402e-06,,0.0306129569763778,0.38469493455987,0.772012452915504,0.0306129569763778,0,0.428423485154509,0.571700679335053,6.98977824558774e-06,,"exp1","COV318_exp1"
"COV318",11,"sigmoid","sigmoid","COV318","tozasertib",10,2.08938299939737,26.3215523343957,-0.722692694957342,0.311817901688468,45.8120517060791,-1,1.98248529788241,0.783576066183539,4.94622665841812e-10,,14.8131583937129,0.0161378340187102,0.744046537601956,14.8131583937129,0,0.512082575343647,0.611760543095614,1.76764639156078e-06,,"exp1","COV318_exp1"
"COV318",12,"sigmoid","sigmoid","COV318","volasertib",10,2.08938299939737,0.144511439577843,-0.734653768987483,0.81606698027875,1.05631689895255,-0.882517284970461,0.511291417550461,0.935031475306119,2.38694311300296e-17,,0.185824381145481,0.0149506917518296,0.427985674991474,0.169066247025686,0.0337172270047435,0.738702775070017,0.899860446792921,1.01971566547018e-14,,"exp1","COV318_exp1"
"NIH-OVCAR3",2,"sigmoid","sigmoid","NIH-OVCAR3","alisertib",10,2.65218939742825,0.728742412699923,-0.514327586460769,0.556824078072576,12.7734690868767,-1,0.383619762753128,0.924241990996832,2.05116092383166e-16,,0.452952112221801,0.0236431537217557,0.493378810704316,0.452952112221801,0,0.454514357433235,0.871433824131225,3.37111965255653e-13,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",3,"sigmoid","sigmoid","NIH-OVCAR3","az3146",10,2.65218939742825,6.932209142545,-0.63393371075714,0.334763535631969,13.9027555252631,-0.773172435196551,1.34307731968246,0.974349080031599,5.3387703437328e-23,,5.95468454489008,0.0115767482502621,0.746702266184176,5.95468454489008,0,1.47443547110779,0.933015025236845,3.6617068559979e-17,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",4,"sigmoid","sigmoid","NIH-OVCAR3","barasertib",10,2.65218939742825,5.28563149138523,-0.606072302923196,0.400572613493154,27.3768879667085,-1,0.667968369642395,0.891355502723868,3.19233372132596e-14,,2.70937649726754,0.0136867372817443,0.619457610656999,2.70937649726754,0,0.435292138349995,0.833556022101983,1.25242927996369e-11,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",5,"sigmoid","sigmoid","NIH-OVCAR3","bi2536",10,2.65218939742825,0.00494460522079936,-0.666901093211215,1.24572874438444,0.00625072102426891,-0.381878110592601,2.42084681900969,0.812384780311106,6.69503616420887e-11,,0.00409457839053419,0.00863578724943755,0.120284314880474,0.00399024940334709,0.0532257392737312,4.3608895338953,0.960082048200526,2.60828769142798e-20,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",6,"sigmoid","sigmoid","NIH-OVCAR3","cfi400945",10,2.65218939742825,9.06349639991832,-0.638295552061525,0.432248022309844,12.8563156452115,-0.70167370223745,2.50832990637385,0.940870297513953,6.38674701417103e-18,,4.42256111619852,0.0117794088452317,0.645359718029709,4.42256111619852,0,0.704630762526192,0.849442180118411,3.07500937346833e-12,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",7,"sigmoid","sigmoid","NIH-OVCAR3","cw069",10,2.65218939742825,45.9178105809915,-0.0533831186237839,0.0583176382151562,47.2720794754469,-0.0782127701446117,5,0.869281053435553,4.25343255194672e-13,,45.3649728265691,0.14676708876184,0.96022536282485,42.6020352913022,0.134810343706101,5,0.748605136080575,4.02707399191052e-09,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",8,"sigmoid","sigmoid","NIH-OVCAR3","gsk923295",10,2.65218939742825,0.0140472038636659,-0.61189191208756,1.03459825569927,0.0153665449655594,-0.270312892594633,4.81443331546478,0.931742548970466,1.82400444955264e-16,,0.0135393706432566,0.0130481022877217,0.226185112037019,0.013116909829998,0.073251147592399,4.99730668110848,0.983683907105653,7.4185373092192e-25,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",9,"sigmoid","sigmoid","NIH-OVCAR3","oxaliplatin",10,2.65218939742825,40.1380222367959,0.310496981280566,0.118454445048887,40.7814195648713,-0.00627061871344587,0.783728602027032,0.802697389946391,1.35475145487784e-10,,30.1708385090857,0.326394735343445,0.877828850227319,14.0690768786756,0.260163872196404,0.962977450384945,0.754809267063544,2.83828973136716e-09,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",10,"sigmoid","sigmoid","NIH-OVCAR3","Paclitaxel",10,2.65218939742825,0.000154244278216601,-0.303827070095302,0.746133853370554,0.000191168962461273,-0.269305034123008,2.00763804133641,0.98170878195056,4.69241892744128e-25,,0.000145517347954595,0.0623851570684177,0.424939776139578,0.000135939327720285,0.0688338632543887,2.17538430602733,0.9577917035081,5.69599427417215e-20,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",11,"sigmoid","sigmoid","NIH-OVCAR3","tozasertib",10,2.65218939742825,3.72241845451991,-0.629081780203347,0.378764013775619,29.7932928662077,-1,0.528201911605262,0.857170091715447,1.47051074584366e-12,,2.371857654248,0.0114901886701223,0.643717340769899,2.371857654248,0,0.499924512719039,0.875962189080766,2.04059727254877e-13,,"exp1","NIH-OVCAR3_exp1"
"NIH-OVCAR3",12,"sigmoid","sigmoid","NIH-OVCAR3","volasertib",10,2.65218939742825,0.0153716953981979,-0.65408885944579,1.1567150024837,0.0188062166639358,-0.439938665706853,3.13005890323755,0.930391914114529,6.26954004975364e-17,,0.0138803150409486,0.00989002762441793,0.198166359359922,0.0137854372461058,0.016856528641271,5,0.977417678319646,8.96933517798388e-24,,"exp1","NIH-OVCAR3_exp1"
