"Row","Column","Timepoint","Centrosomes...Number.of.Objects","Centrosomes...Relative.Spot.Intensity...Mean.per.Well","Centrosomes...Spot.Contrast...Mean.per.Well","Centrosomes...Spot.Area..µm.....Mean.per.Well","Centrosomes...Spot.Roundness...Mean.per.Well","Centrosomes...Spot.Ratio.Width.to.Length...Mean.per.Well","Centrosomes...Intensity...Cep164.Mean...Mean.per.Well","Centrosomes...Intensity...Cep164.Contrast...Mean.per.Well","Centrosomes...Cep164.pos.Centrosomes...Mean.per.Well","Nuclei.Selected...Number.of.Objects","Nuclei.Selected...Nucleus.Area..µm.....Mean.per.Well","Nuclei.Selected...Nucleus.Roundness...Mean.per.Well","Nuclei.Selected...Nucleus.Ratio.Width.to.Length...Mean.per.Well","Nuclei.Selected...Intensity.Nuclei.Mean...Mean.per.Well","Cep164.pos.Centrosomes...Number.of.Objects","Number.of.Analyzed.Fields","Time..s.","Compound","Concentration","Cell.Type","Cell.Count","X","Plate"
8,7,0,124,0.424619919585,0.663637472868,2.9195325385,0.945851248391,0.846494720028,981.31913443,0.211327012915,0.991935483871,188,98.629696289,0.723778492924,0.565717998748,8355.68431259,123,5,0,"Stain3",NA,"OV-4485",20000,NA,"Plate11"
8,8,0,198,0.398831139498,0.638286126276,2.91779285888,0.942277731129,0.838337513047,601.914513433,0.201941673764,0.974747474747,270,110.706984849,0.767577341339,0.592007929293,7925.51116214,193,5,0,"Stain3",NA,"OV-4485",20000,NA,"Plate11"
8,9,0,155,0.37536369276,0.612746045974,2.91913327377,0.928641845409,0.822896009975,634.515635199,0.207497523627,0.967741935484,306,102.252713068,0.733767972012,0.576573869308,6926.4782481,150,5,0,"Stain3",NA,"OV-4485",20000,NA,"Plate11"
1,7,0,542,0.371276873995,0.64259440466,2.84758377136,0.925224144077,0.803244585523,679.589451635,0.23694187733,0.955719557196,524,145.827691342,0.787525421011,0.588006723682,7265.21019688,518,5,0,"Stain3",NA,"OV-2295",15000,NA,"Plate12"
1,8,0,473,0.384235831916,0.652750584813,2.82767339316,0.931025908429,0.803241492652,778.760540908,0.23978160988,0.966173361522,444,135.665526962,0.851470704527,0.627404380808,7925.25313196,457,5,0,"Stain3",NA,"OV-2295",15000,NA,"Plate12"
1,9,0,619,0.390115499912,0.65614942146,2.86270867083,0.932441887979,0.81721681142,659.743837704,0.242549511226,0.970920840065,536,137.232109575,0.802084649539,0.599805006193,8079.87533736,601,5,0,"Stain3",NA,"OV-2295",15000,NA,"Plate12"
2,7,0,325,0.408527636723,0.66949032149,2.85277003328,0.938620390999,0.821490985146,789.058755316,0.314428269001,0.963076923077,265,266.847939465,0.739127994145,0.543698478399,8620.3564402,313,5,0,"Stain3",NA,"OV-2295(2)",10000,NA,"Plate12"
2,8,0,340,0.420039478344,0.671025074865,2.89844476698,0.942605261776,0.838674394771,848.783371751,0.314836005864,0.970588235294,256,245.331381884,0.71701436245,0.550643786555,9538.11522618,330,5,0,"Stain3",NA,"OV-2295(2)",10000,NA,"Plate12"
2,9,0,290,0.42387690658,0.670585853273,2.88834926612,0.944700551969,0.832443854325,944.596290554,0.318460805469,0.965517241379,249,224.324355011,0.728154611152,0.555062183402,9549.13627455,280,5,0,"Stain3",NA,"OV-2295(2)",10000,NA,"Plate12"
3,7,0,1063,0.432123082956,0.652973552885,2.8835187701,0.943679818201,0.83922398908,1017.44676657,0.37783071,0.990592662277,868,94.3832989329,0.880653312509,0.67538902651,8133.822185,1053,5,0,"Stain3",NA,"OV-3331",30000,NA,"Plate12"
