"Row","Column","Timepoint","Centrosomes...Number.of.Objects","Centrosomes...Relative.Spot.Intensity...Mean.per.Well","Centrosomes...Spot.Contrast...Mean.per.Well","Centrosomes...Spot.Area..µm.....Mean.per.Well","Centrosomes...Spot.Roundness...Mean.per.Well","Centrosomes...Spot.Ratio.Width.to.Length...Mean.per.Well","Centrosomes...Intensity...Centrin.3.Mean...Mean.per.Well","Centrosomes...Intensity...Centrin.3.Contrast...Mean.per.Well","Centrosomes...Centrin3.pos.Centrosomes...Mean.per.Well","Nuclei.Selected...Number.of.Objects","Nuclei.Selected...Nucleus.Area..µm.....Mean.per.Well","Nuclei.Selected...Nucleus.Roundness...Mean.per.Well","Nuclei.Selected...Nucleus.Ratio.Width.to.Length...Mean.per.Well","Nuclei.Selected...Intensity.Nuclei.Mean...Mean.per.Well","Centrin3.pos.Centrosomes...Number.of.Objects","Number.of.Analyzed.Fields","Time..s.","Compound","Concentration","Cell.Type","Cell.Count","X","Plate"
3,5,0,687,0.45843636262,0.69576407991,2.85576390599,0.941741932778,0.839604586467,612.303411969,0.356626856878,0.995633187773,512,94.9015188111,0.891758399076,0.662927544166,11292.2912212,684,5,0,"Stain2",NA,"A2780-CIS",NA,NA,"Plate4"
3,6,0,1045,0.474708485356,0.701607477266,2.90125090546,0.947360710909,0.856228242143,640.089121891,0.361275570311,0.994258373206,773,94.1296865578,0.863271723623,0.642848620698,10249.4067118,1039,5,0,"Stain2",NA,"A2780-CIS",NA,NA,"Plate4"
4,4,0,981,0.409445822466,0.644150824733,2.73300431331,0.924376461857,0.795558661668,283.113401426,0.120173857703,0.852191641182,391,178.453927132,0.798321364302,0.596944339483,11336.0625617,836,5,0,"Stain2",NA,"CIOV2",NA,NA,"Plate4"
4,5,0,982,0.409967081939,0.646497060542,2.73395593787,0.924391652451,0.796188508976,281.518369481,0.118411157624,0.840122199593,397,153.575009801,0.786781066574,0.588229231196,11298.841062,825,5,0,"Stain2",NA,"CIOV2",NA,NA,"Plate4"
4,6,0,1195,0.406696696698,0.64636779674,2.73724240355,0.923456193375,0.79516499207,278.788362185,0.118775043252,0.824267782427,465,165.205144737,0.841124397914,0.624250235047,10621.4902389,985,5,0,"Stain2",NA,"CIOV2",NA,NA,"Plate4"
5,4,0,834,0.341687033409,0.613221397087,2.59982887618,0.896115512504,0.741846736845,250.575188741,0.101747542988,0.551558752998,296,210.888298126,0.813626840597,0.600351231673,7263.16250574,460,5,0,"Stain2",NA,"CIOV3",NA,NA,"Plate4"
5,5,0,791,0.333819148476,0.607154725034,2.56283792272,0.894189533862,0.730435212441,243.793124469,0.0964671972427,0.486725663717,227,284.287372395,0.872271480875,0.658452216412,6767.51917086,385,5,0,"Stain2",NA,"CIOV3",NA,NA,"Plate4"
5,6,0,1211,0.330645924364,0.605940281106,2.55780940514,0.894212229536,0.724866531279,245.156390208,0.0860402154403,0.482246077622,231,287.787438696,0.896410169007,0.672161335583,7748.38837517,584,5,0,"Stain2",NA,"CIOV3",NA,NA,"Plate4"
7,4,0,392,0.42298677319,0.637018922617,2.78489130258,0.930817665616,0.809939412897,513.265275451,0.323062336172,0.933673469388,256,180.524073708,0.959219493385,0.736585283551,13022.7801142,366,5,0,"Stain2",NA,"COV362.4",NA,NA,"Plate4"
7,5,0,582,0.393899639984,0.620122233383,2.74217756028,0.930143286124,0.798101305777,485.092832399,0.313455078387,0.941580756014,385,228.796399152,0.944249200199,0.742480442673,12346.580858,548,5,0,"Stain2",NA,"COV362.4",NA,NA,"Plate4"
7,6,0,333,0.39749954512,0.630307120525,2.69972945921,0.924354628204,0.782586923145,480.282116049,0.31027031782,0.894894894895,218,197.147663732,0.954495475006,0.736797426356,12300.5582485,298,5,0,"Stain2",NA,"COV362.4",NA,NA,"Plate4"
8,4,0,64,0.407407969282,0.682171248032,2.75624972382,0.923211919061,0.797704519008,277.836114947,0.0973797771136,0.734375,91,77.6603493612,0.625743231382,0.500907399375,6995.79322088,47,5,0,"Stain2",NA,"COV413A",NA,NA,"Plate4"
8,5,0,47,0.439586668194,0.686985316282,2.70143589953,0.925488540259,0.775307780293,307.964429516,0.137367161248,0.914893617021,49,73.9134109611,0.540563395727,0.42647922645,4993.60554828,43,5,0,"Stain2",NA,"COV413A",NA,NA,"Plate4"
8,6,0,93,0.427067597166,0.697116684443,2.65983844316,0.918306736014,0.761041318487,284.738041511,0.118228612879,0.903225806452,74,101.556172256,0.624525740285,0.485513489769,6808.13906685,84,5,0,"Stain2",NA,"COV413A",NA,NA,"Plate4"
1,4,0,960,0.381547606992,0.605519998414,2.71018686202,0.922819417898,0.784048037761,695.690290523,0.367174262613,0.922916666667,584,161.71355233,0.885371489986,0.677607532636,8395.53833201,886,5,0,"Stain2",NA,"COV362.4",5000,NA,"Plate5"
1,5,0,1448,0.376454131292,0.607215445199,2.67338681175,0.919862952928,0.773357564129,711.748788011,0.363843987884,0.895718232044,857,153.900746395,0.896068963603,0.706032457007,7351.38936793,1297,5,0,"Stain2",NA,"COV362.4",5000,NA,"Plate5"
1,6,0,986,0.384655222528,0.614480555339,2.7099951083,0.924607295701,0.780431545911,773.360112442,0.42128418779,0.941176470588,647,164.300678049,0.909116639739,0.720323486349,8546.18754873,928,5,0,"Stain2",NA,"COV362.4",5000,NA,"Plate5"
3,4,0,1908,0.484392946805,0.742192439362,2.83712710033,0.941249537519,0.830494426033,317.521166593,0.12933756116,0.926100628931,638,121.171820003,0.903933801378,0.692917477762,9567.84923718,1767,5,0,"Stain2",NA,"COV644 NL",10000,NA,"Plate5"
3,5,0,2124,0.493155067361,0.744217714924,2.84718964797,0.944630841677,0.83740545725,361.764147601,0.172220404351,0.94209039548,794,121.355624077,0.920746101443,0.710641614894,8587.96115546,2001,5,0,"Stain2",NA,"COV644 NL",10000,NA,"Plate5"
3,6,0,1582,0.489501895927,0.744379619522,2.84352756427,0.940880520535,0.83554092843,313.319553478,0.133585255568,0.898862199747,591,124.464427139,0.899479029766,0.710553567587,9666.40208642,1422,5,0,"Stain2",NA,"COV644 NL",10000,NA,"Plate5"
4,4,0,785,0.502757500131,0.722160808039,2.99801286012,0.954479804415,0.886528610374,552.27326723,0.340728025557,0.996178343949,752,164.321832377,0.953574796133,0.752910059537,6564.565131,782,5,0,"Stain2",NA,"IGROV-1",4000,NA,"Plate5"
4,5,0,680,0.477781896812,0.72020998109,2.96978779522,0.944561073448,0.867672081789,476.946254077,0.282406748752,0.908823529412,584,164.764472982,0.93643350726,0.738809385855,7282.66127164,618,5,0,"Stain2",NA,"IGROV-1",4000,NA,"Plate5"
4,6,0,589,0.485283943214,0.717518914005,2.95728430427,0.946121284365,0.865531382919,518.641876266,0.302275187569,0.967741935484,535,165.14201637,0.941113529079,0.736610963808,7383.25914387,570,5,0,"Stain2",NA,"IGROV-1",4000,NA,"Plate5"
