"SampleID","SampleType","CAscore_norm","CAScoreMean","CAScoreMedian","Centrosome.Size","CSizeMean","CSizeMedian","heterosce","Cohort"
"BL002847","T",3.21798514795129,5.39044110410302,5.09948239734677,0.727151012987013,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",4.90334845898728,5.39044110410302,5.09948239734677,0.76967688,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.78965503398812,5.39044110410302,5.09948239734677,0.767315025641026,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.49953091045335,5.39044110410302,5.09948239734677,0.817447740740741,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",3.63848469324035,5.39044110410302,5.09948239734677,0.761408875,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",3.07487400137783,5.39044110410302,5.09948239734677,0.741961532258064,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.03517804274201,5.39044110410302,5.09948239734677,0.731917227272727,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.27419106441373,5.39044110410302,5.09948239734677,0.748268040816326,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.40017143273017,5.39044110410302,5.09948239734677,0.786156134146341,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",1.09628548704094,5.39044110410302,5.09948239734677,0.718300057142857,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.43919297887076,5.39044110410302,5.09948239734677,0.772003862068966,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",7.8310932479535,5.39044110410302,5.09948239734677,0.68889325,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",6.33039194153392,5.39044110410302,5.09948239734677,0.731524461538462,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",3.88741873332744,5.39044110410302,5.09948239734677,0.774876147058824,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",3.60197327338579,5.39044110410302,5.09948239734677,0.727616890909091,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",7.36057364900052,5.39044110410302,5.09948239734677,0.7677429375,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",4.71791273544739,5.39044110410302,5.09948239734677,0.670913744186047,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",6.53779794531637,5.39044110410302,5.09948239734677,0.675519222222222,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",4.8543149743974,5.39044110410302,5.09948239734677,0.788414246153846,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.60254648977017,5.39044110410302,5.09948239734677,0.759989924528302,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.80654966472682,5.39044110410302,5.09948239734677,0.693839541666667,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",3.77112072391203,5.39044110410302,5.09948239734677,0.683241472222222,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",3.84323210861382,5.39044110410302,5.09948239734677,0.700076898305085,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",7.5903834145123,5.39044110410302,5.09948239734677,0.731686114285714,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",4.42702318011423,5.39044110410302,5.09948239734677,0.697281480769231,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.97621848324576,5.39044110410302,5.09948239734677,0.685231305084746,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",4.30462380504778,5.39044110410302,5.09948239734677,0.743683704545455,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",4.3414512301736,5.39044110410302,5.09948239734677,0.736990111111111,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",6.25056354378443,5.39044110410302,5.09948239734677,0.73260002173913,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",2.12729886989909,5.39044110410302,5.09948239734677,0.77589767816092,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",6.44505243958048,5.39044110410302,5.09948239734677,0.716873225,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",9.75766343338468,5.39044110410302,5.09948239734677,0.892098441176471,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",7.73974695218607,5.39044110410302,5.09948239734677,0.827670961538462,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",6.24126210993952,5.39044110410302,5.09948239734677,0.748148333333333,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",6.30766745764123,5.39044110410302,5.09948239734677,0.681931298507463,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",10.6647828982973,5.39044110410302,5.09948239734677,0.666005428571429,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",15.8299068959821,5.39044110410302,5.09948239734677,0.709927548387097,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
"BL002847","T",10.3166451577092,5.39044110410302,5.09948239734677,0.682432536585366,0.73968617355445,0.734795066425121,0.52694977252399,"CAOV"
