"cell_line","sample_id","Cell.Type","Media","OxygenConditions","Provider","Type","subtype","subtype2","comment","X..CA.cells","Centros..Size","Nuclei.intensity","X..MN.cells","Mitotic.index","X..yH2AX.cells","s1","s2","s3","s4","s5","s6","s7"
"FT194","JBLAB-6344","FT194","DMEM/F-12","21%","Ronnie Drapkin","normal fallopian tube","normal","normal","these two lines were originally grown using 2%USG instead of 10%FCS",26.38275982,2.981676447,7062.367148,7.90578324,0.118805402,0.033065064,1,0,0,0,0,0,0
"FT246","JBLAB-6345","FT246","DMEM/F-12","21%","Ronnie Drapkin","normal fallopian tube","normal","normal",NA,39.64265152,2.886105781,8584.166457,19.12543198,0.052482637,0.027409673,0.865491775242134,0,0.110797859375394,0,0.0237103653824723,0,0
"FT33","JBLAB-6347",NA,"DMEM/F-12","21%","Ronnie Drapkin","normal fallopian tube","normal","normal",NA,NA,NA,NA,NA,NA,NA,0.982959676070641,0,0,0,0.0170403239293585,0,0
"FUOV1","JBLAB-6350","FUOV1","DMEM/F-12","21%","DSMZ, ACC444, Lot7, 7.03.2018","HGSOC","HGSOC","HGSOC",NA,22.34536724,2.892221583,10275.69107,27.37115197,0.066096811,NA,0.0708037848400379,0.136499123660649,0.133290157980941,0.322465090489502,0.0442121725057896,0.171356834683639,0.121372835839442
"HOC-7","JBLAB-6385","HOC-7","RPMI 1640","21%","Jozien Helleman, Netherlands","LGSOC","other","LGSOC",NA,25.94861525,2.926839145,3415.835475,3.678094291,0.021254407,0.048380745,0.866255854542198,0,0.117906986178829,0,0.0158371592789731,0,0
"IGROV1","JBLAB-6351","IGROV-1","RPMI 1640","21%","Jozien Helleman, Netherlands","endometrioid ovarian carcinoma","other","endometrioid","probably",12.62434809,3.017168391,6773.976706,3.392180773,0.034971449,0.005965709,0.626369098325508,0.0395147746383618,0,0.170246287737526,0,0.035124857660979,0.128744981637625
"IOSE4","JBLAB-6346","IOSE4","DMEM/F-12","21%","unknown","normal ovarian surface epithelium","normal","normal","Telomerase Immortalized",30.69370365,2.998160004,7146.299972,13.30347241,0,0.076691689,0.924694420773311,0,0.0100150527363654,0,0.0652905264903238,0,0
"NA12878","JBLAB-6349",NA,"RPMI 1640","21%","Caldas lab","lymphoblastoid","normal","normal",NA,NA,NA,NA,NA,NA,NA,0.98799780779424,0,0.0120021922057599,0,0,0,0
"NIH:OVCAR3","JBLAB-6348","NIH:OVCAR3","RPMI 1640","21%","ATCC","HGSOC","HGSOC","HGSOC",NA,38.46671449,2.946121399,11763.69923,18.22851585,0.067213094,NA,0,0.260399969944897,0.0735805101451226,0.322510007739672,0.0157280147054573,0.204807323454679,0.122974174010172
"OAW28","JBLAB-6333","OAW28 NL","DMEM/F-12","21%","Jozien Helleman, Netherlands","HGSOC","HGSOC","HGSOC",NA,33.23843025,2.845158132,11426.11034,10.26232188,0.114807413,0.046800843,NA,NA,NA,NA,NA,NA,NA
"OAW42","JBLAB-6393","OAW42 NL","DMEM/F-12","21%","Jozien Helleman, Netherlands","ovarian cystadenocarcinoma","other","HGSOC",NA,22.77558895,3.023745765,7311.515929,6.149682154,0.026034527,0.030747301,NA,NA,NA,NA,NA,NA,NA
