"Cell.Type","% CA cells","Nuclei intensity","% MN cells","Mitotic index","% ɣH2AX cells"
"CAOV3",37.7388575538438,11436.2697155816,16.4711433343466,0.0399597543866206,NA
"CAOV4",21.8315700376377,9726.37494934402,12.9329676344801,0.0311639949856608,NA
"COV362",29.7633104377498,11320.6523821797,16.1458569892688,0.05583635038865,NA
"FUOV1",22.3453672365213,10275.6910699515,27.3711519715972,0.0660968106157417,NA
"59M",20.111561800763,9755.95532594233,43.9658277325425,0.0578428384331915,NA
"COV318",49.7995509218204,11138.345001051,30.3229342602293,0.076629069329888,NA
"NIH:OVCAR3",38.4667144941923,11763.6992286449,18.2285158479185,0.0672130938111454,NA
"CIOV4",20.6516290726817,11790.1859715957,21.6123642439432,0.109117828630024,NA
"CIOV1",29.9104879014079,9643.03468929523,5.84460768992261,0.0356346308586675,NA
"CIOV5",24.276719270726,12056.7791483832,6.20685976753904,0.0536535933473991,NA
"CIOV7",28.5818713450293,14149.846559576,16.9992690058479,0.0373411105118422,NA
"OVKATE",25.2420916709789,13967.462798191,5.33828306267511,0.0269730088975598,NA
"2774N",21.4529846829143,10101.6896269159,6.93962216794028,0.0542842028723332,0.0631699518829667
"A2780-ADR",5.70502150622944,6951.10603946678,10.0781846992979,0.0129268668929464,0.00562305211309333
"A2780-CIS",15.4039067106433,10888.6508189077,3.95483122775318,0.0297823189190944,0.00183570885575333
"CIOV2",40.0917155055622,12161.5750345335,8.41101968391508,0.062212122270385,0.02908879738145
"CIOV3",9.33994277493141,7346.65978376567,19.1580558340612,0.0433270710816733,0.00797872340425
"COV362.4",29.6297639313163,8299.37516728244,10.5555598402812,0.0446552779290504,0.0539417040054
"COV644 NL",48.8919796762452,9731.74436846381,6.90434709288362,0.0578252926723111,0.1320322612765
"IGROV-1",12.6243480851514,6773.97670647453,3.39218077287064,0.0349714487141242,0.005965709111105
"PEO1",8.26186321599821,4541.02232875029,5.08089096215363,0.0271820166837698,0.04045331035855
"PEO14",17.5343877445511,5917.41185069425,19.5147027522637,0.0451401991556727,0.00853676256902
"ES-2",29.1432010094316,10847.8781873625,6.94030955941146,0.048292923699531,0.1235777773553
"HOC-7",25.9486152474062,3415.83547486329,3.67809429119204,0.0212544069665941,0.0483807446935
"OVCAR-8",31.7068073327636,6664.40015868091,9.01946025836888,0.0932031288581871,0.0112280734556867
"CIOV6",5.19228823980536,4867.14021935279,14.0232172608029,0.02216204542978,0.00286254852818333
"COV413A",13.6907292004371,7456.78242310316,5.26472989685771,0.0320411440054012,0.0605808254526667
"PEO16",2.81719540313492,3890.11133487697,8.69182375376299,0.0263379673134336,0.0224695693427333
"PEO4",6.8654336746256,5182.66099459144,4.37218376047181,0.0221121438288985,0.0582285559638333
"PEO6",0.451127819548873,5859.86366232705,2.73324002647311,0.0259165204543356,0.0306972264992
"OAW42 NL",22.775588951517,7311.51592941044,6.14968215396088,0.0260345269733895,0.0307473008788333
"OV17R NL",15.6186239327507,7998.20258510758,10.919926416659,0.0345783587534117,0.01692515915571
"OVCAR-5",14.5843482596059,8134.29940883529,3.30191551530865,0.028737009645595,0.0478561653343333
"PEA1",6.64431550705515,8455.31568188452,14.2392614941971,0.0667600373482726,0.0128167208912667
"FT194",26.382759824099,7062.36714814849,7.9057832395499,0.118805401748372,0.033065063595545
"FT246",39.6426515171258,8584.16645662224,19.1254319752205,0.0524826371745498,0.0274096730931333
"OAW28 NL",33.2384302488096,11426.1103376647,10.2623218826414,0.114807413397074,0.0468008430463667
"OVSAHO",29.0989195136694,9792.46919944507,41.4513764840795,0.0506094087063977,0.0622494865889333
"OV-1369(2)",35.5011019740998,10332.3107758796,41.3048144440291,0.042477910313752,0.101580317147
"OV-1946",29.9556428175894,13000.9464536653,17.4137833060969,0.0692478081884611,0.0336466312269
"OV-2085",20.7424680845461,10054.3440649058,29.618489296122,0.0412210493123672,0.0318455426088667
"OV-2085(2)",28.8611490236372,7652.19398919056,20.082798442791,0.023306315138731,0.01491908962632
"OV-2978",44.085142357462,8920.07162032679,21.8283106135488,0.0252035637661587,0.0250208152459567
"OV-3133",35.7127107779242,6921.94541872273,18.9665918153908,0.0311174586807118,0.00764026500087667
"OV-4453",24.3940165371684,7864.23891952267,27.3788575516619,0.0197214970482772,0.0155276524329667
"OV-4485",34.7968733347542,8769.41225471509,19.9804540603128,0.0493595826074324,0.0230829851193167
"OV-2295",30.4532087902064,7546.52368948793,29.7216661471277,0.0455174332561043,0.0477661232489333
"OV-2295(2)",35.15037249325,8505.96090147119,48.9376045542227,0.0522557022445276,0.0467144750074333
"OV-3331",30.1505245257392,7653.87178802642,14.3632991644467,0.0278527703786076,0.0499000408691
"A2780",42.3068009475083,4202.23725414945,12.1496534891118,0.00904656710679496,0.0075361959898
"OV-90",37.5116943446818,9816.84702281179,24.5438597312646,0.0735113496799333,0.02747300059254
"OV-3133(2)",33.2343740651665,7348.19262111605,18.2025010197641,0.0294529591792501,0.0212951245348133
"OV-866(2)",26.724025974026,6693.03290377242,13.480364873222,0.0237196765498652,0
"OV-90(MesMasson)",50.4431000548665,11295.2717098193,16.090450196722,0.0470564421194673,0.0276493321966667
"TOV-1369M",47.2309788775063,9652.64395533637,15.9154005410297,0.052015118552838,0.0606165572446
"PEA2",33.0573800463477,12047.5040902499,15.9211529491281,0.129054353803152,0.0059171597633
"PEO23",37.025361602766,7982.35808482994,19.0568983229994,0.0157848392245218,0.0303468657906333
"IOSE4",30.6937036526981,7146.29997202892,13.3034724073058,0,0.076691688925625
"TOV-1946",20.9206065220197,11141.6184273058,15.7845404972058,0.0364425368755512,0.0720396628632333
"TOV-2835EP",36.7621212089603,10374.5544600502,14.0250397999604,0.0949342857824285,0.01851443239766
"TOV-3041G",28.9114666247652,8715.10952524339,13.129330206408,0.0353387589015588,0.0194462309721
"TOV-3133G",36.3975672434745,8500.19834118825,15.2966534127616,0.0715054290136908,0.0113719467602733
"SNU-119",33.864118895966,11271.8603799693,20.5359103887547,0.0703681885125184,0.0476621008073667
"JHOS-2",6.66028214421226,10172.938598268,11.3507357208824,0.0418355729901632,0.109858082190333
"Kuramochi",28.3137729796641,9604.51782850734,10.3304082545472,0.0538498855306032,0.0128188421329533
"TYK-nu",30.0667289838488,11161.8375952315,15.2517627541952,0.0801098870142418,0.0466096296526667
"TYK-nu.CP-r",12.9315641634702,8156.94273013595,14.9325078093635,0.0285262462646648,0.00884722915848
"TOV-3133 D",31.9954993927209,7020.68024121452,11.0091527676548,0.0677917013383948,NA
"TOV-3121 EP",33.2957215266243,7104.9218481849,24.722507620859,0.0531390408005549,NA
"TOV-2929 D",32.7930467465351,9462.74262743716,45.8773784355179,0.0369047619047619,NA
"TOV-2978 G",51.5854592000392,8808.62992836171,36.1624115680463,0.05739680766904,NA
"TOV-2881 EP",45.2892579730189,8995.53654447939,19.3709680225046,0.0875608200416721,NA
"TOV-2295",35.1788612491231,10493.9194481936,14.2728444627091,0.0834971105514244,NA
