"sample_id","tMAD","cell_line","Cell.Type","subtype","X..CA.cells","Centros..Size","Nuclei.intensity","X..MN.cells","Mitotic.index","X..yH2AX.cells"
"JBLAB-6367",0.59743702,"TOV-1369 M","TOV-1369M","HGSOC",47.23097888,2.892360336,9652.643955,15.91540054,0.052015119,0.060616557
"JBLAB-6368",0.405885785,"OV-2295 (2)","OV-2295(2)","HGSOC",35.15037249,2.902838304,8505.960901,48.93760455,0.052255702,0.046714475
"JBLAB-6369",0.326092319,"OV-866 (2)","OV-866(2)","HGSOC",26.72402597,2.905845785,6693.032904,13.48036487,0.023719677,0
"JBLAB-6370",0.559966428,"TOV-1946","TOV-1946","HGSOC",20.92060652,3.002740537,11141.61843,15.7845405,0.036442537,0.072039663
"JBLAB-6371",0.584833564,"OV-1946","OV-1946","HGSOC",29.95564282,2.97483842,13000.94645,17.41378331,0.069247808,0.033646631
"JBLAB-6372",0.435635853,"TOV-3133 G","TOV-3133G","HGSOC",36.39756724,2.933527328,8500.198341,15.29665341,0.071505429,0.011371947
"JBLAB-6373",0.051287378,"COV413A","COV413A","other",13.6907292,2.876665349,7456.782423,5.264729897,0.032041144,0.060580825
"JBLAB-6374",0.468860798,"CAOV4","CAOV4","HGSOC",21.83157004,2.993441074,9726.374949,12.93296763,0.031163995,NA
"JBLAB-6379",0.035495803,"OVKATE","OVKATE","HGSOC",25.24209167,2.953097827,13967.4628,5.338283063,0.026973009,NA
"JBLAB-6383",0.486039149,"PEA2","PEA2","HGSOC",33.05738005,2.936007876,12047.50409,15.92115295,0.129054354,0.00591716
"JBLAB-6384",0.131345362,"OVCAR-5","OVCAR-5","unknown",14.58434826,2.977566929,8134.299409,3.301915515,0.02873701,0.047856165
"JBLAB-6385",0.01910867,"HOC-7","HOC-7","other",25.94861525,2.926839145,3415.835475,3.678094291,0.021254407,0.048380745
"JBLAB-6387",0.511006969,"COV362.4","COV362.4","other",29.62976393,2.827593954,8299.375167,10.55555984,0.044655278,0.053941704
"JBLAB-6388",0.548710645,"OV17R","OV17R NL","other",15.61862393,2.915001166,7998.202585,10.91992642,0.034578359,0.016925159
"JBLAB-6389",0.257597131,"ES2","ES-2","HGSOC",29.14320101,2.852116961,10847.87819,6.940309559,0.048292924,0.123577777
"JBLAB-6390",0.185536098,"OVCAR-8","OVCAR-8","HGSOC",31.70680733,2.854939435,6664.400159,9.019460258,0.093203129,0.011228073
"JBLAB-6391",0.412866903,"OV-2085 (2)","OV-2085(2)","HGSOC",28.86114902,2.913910808,7652.193989,20.08279844,0.023306315,0.01491909
"JBLAB-6392",0.674730027,"TOV-3121 D",NA,"HGSOC",NA,NA,NA,NA,NA,NA
