sample_id,s1,s2,s3,s4,s5,s6,s7,X..CA.cells,CA_group,X..MN.cells,MN_group
JBLAB-6370,0.107779486,0.104261411,0.218192127,0.163508363,0.028729433,0.030005552,0.347523627,20.92060652,low,15.7845405,high
JBLAB-6365,0.324240352,0,0.052079411,0.320810777,0.02992185,0,0.272947611,35.17886125,high,14.27284446,low
JBLAB-6331,0.195257558,0.206218092,0.108697276,0.163826942,0.072774634,0.088754349,0.164471149,36.76212121,high,14.0250398,low
JBLAB-6336,0.160676328,0.135217053,0,0.25197301,0.017260753,0.131835255,0.303037601,45.28925797,high,19.37096802,high
JBLAB-6337,0,0.217809784,0.028592088,0.278593003,0.028673242,0.155935845,0.290396039,32.79304675,high,45.87737844,high
JBLAB-6332,0.173138082,0,0.056062328,0.28015759,0.082399773,0,0.408242228,28.91146662,low,13.12933021,low
JBLAB-6392,0.36530675,0,0,0.274405097,0,0.218992066,0.141296087,,,,
JBLAB-6362,0.189974905,0.166148145,0.087682853,0.222779521,0.122339546,0.038535298,0.172539733,33.29572153,high,24.72250762,high
JBLAB-6328,0,0.511885774,0.130478828,0.245239162,0.024450805,0,0.08794543,31.99549939,high,11.00915277,low
JBLAB-6372,0,0.563684157,0,0.32760562,0.019212823,0.064611272,0.024886128,36.39756724,high,15.29665341,high
JBLAB-6325,0.879777446,0.04824165,0,0.05529704,0,0.016683863,0,,,,
