"s1","s2","s3","s4","s5","s6","s7","sample_id"
0.421028718420341,0.115933896788704,0.414953210132136,0,0.0296250558018391,0.0184591188569794,0,"JBLAB-6316"
0.205881516741562,0.0937408649060035,0.335367396335749,0,0.231457335540404,0.025981288387873,0.107571598088409,"JBLAB-6318"
0.626369098325508,0.0395147746383618,0,0.170246287737526,0,0.035124857660979,0.128744981637625,"JBLAB-6351"
0.19349750247111,0.153440851004187,0.0788849747246906,0.134105548538104,0.0165624694793781,0.188411062353875,0.235097591428655,"JBLAB-6381"
0.0518837567642928,0.289703934793955,0.212520129372205,0.0847923117112005,0.0391893724580905,0.237504782141233,0.0844057127590237,"JBLAB-6319"
0.118688974732057,0.22902013276478,0.141695999351443,0.0544573426372737,0.194831695539567,0.124383843605987,0.136922011368892,"JBLAB-6320"
0.202226363450421,0.127796818723804,0.362685913300918,0,0.192384086364553,0.0110869014377107,0.103819916722593,"JBLAB-6321"
0.652431718363902,0.14298523162221,0.15784191873052,0,0,0.0362278764067039,0.0105132548766638,"JBLAB-6322"
0.141454207561902,0.102342596877866,0.201086917272387,0.0895718742595861,0.111126090620186,0.142142340848501,0.212275972559573,"JBLAB-6324"
0.879777446475196,0.0482416500628554,0,0.0552970400317641,0,0.0166838634301844,0,"JBLAB-6325"
0.300540791580027,0,0.316366521010243,0,0.116618403226752,0,0.266474284182979,"JBLAB-6326"
0.128534522427126,0.21878291285104,0,0.187072236080383,0.0983659718725118,0.137581590738677,0.229662766030263,"JBLAB-6327"
0,0.511885774409308,0.130478828155339,0.245239161717983,0.0244508053826383,0,0.0879454303347312,"JBLAB-6328"
0.489363197674954,0.104826778246415,0.272261587512656,0.0156605437343591,0.0475600504893771,0.0703278423422392,0,"JBLAB-6329"
0.195257558146397,0.206218092461263,0.108697275806946,0.163826941553282,0.0727746339062992,0.088754349069977,0.164471149055835,"JBLAB-6331"
0.173138081823074,0,0.0560623277078449,0.280157590163668,0.0823997726735745,0,0.408242227631838,"JBLAB-6332"
0.0515006906605406,0.255479467453768,0.494777572340764,0,0.0734554955030018,0.0218541265886767,0.102932647453249,"JBLAB-6334"
