"s1","s2","s3","s4","s5","s6","s7","sample_id"
0.10817925948444,0,0,0.344325512345628,0.233552177458751,0.0409652639113404,0.272977786799841,"JBLAB-6368"
0.112188532487271,0.161066716006687,0,0.225570643865863,0.0525002259323534,0.253470679064154,0.195203202643671,"JBLAB-6369"
0.107779486499452,0.104261411429753,0.218192127034754,0.163508362926076,0.0287294329078648,0.0300055520968294,0.347523627105271,"JBLAB-6370"
0.305208634815135,0,0.16149893630111,0.266058634413782,0.0208136621262419,0.0115049934435243,0.234915138900207,"JBLAB-6371"
0,0.563684156640075,0,0.32760562035217,0.0192128232334428,0.0646112718086006,0.0248861279657114,"JBLAB-6372"
0.216072875525245,0.177251345632447,0.498587127713019,0,0,0.041857310415658,0.0662313407136315,"JBLAB-6373"
0.230179915260314,0.212113935735876,0.2178707596307,0.0570370286191876,0.0435012918945558,0.239297068859366,0,"JBLAB-6374"
0.356235564011541,0.0815542851141581,0.392778492920289,0,0.0126157403011115,0.0166909090981788,0.140125008554722,"JBLAB-6379"
0.254449339844358,0,0.0793843418247173,0.415871092747946,0,0.136681701508802,0.113613524074177,"JBLAB-6383"
0.358441690620417,0.128426980840178,0.140723543994878,0.150365261659839,0.093202310115382,0.0801024744453218,0.0487377383239839,"JBLAB-6384"
0.866255854542198,0,0.117906986178829,0,0.0158371592789731,0,0,"JBLAB-6385"
0.249300977493864,0,0.14479856211609,0.362650503189291,0,0,0.243249957200756,"JBLAB-6387"
0.198111771270473,0.144014685444873,0.0131498736771274,0.164834322517153,0.114323746048747,0.0147424418269402,0.350823159214687,"JBLAB-6388"
0.414747515420621,0.176363380775492,0,0.106632646527321,0.0151736487265203,0.212700746751838,0.0743820617982074,"JBLAB-6389"
0.0584539990104444,0.206032470698802,0.34919801270615,0.101979334163274,0.0164145331840044,0.0757214183333968,0.192200231903928,"JBLAB-6390"
0.0248875218604773,0.269170985552717,0.0345618396920793,0.255840288664735,0.0285992343027144,0.173134626273663,0.213805503653613,"JBLAB-6391"
0.365306749744755,0,0,0.274405097071185,0,0.218992066098127,0.141296087085934,"JBLAB-6392"
